Date,Machine_ID,Line,Shift,Downtime_Reason,Downtime_Minutes,Production_Rate_Units_Per_Hour,Profit_Per_Unit_USD
2025-04-15,CNC-201,Line B,Night,Operator Break / Shift Change,17,52,4.53
2025-09-27,CNC-301,Line C,Night,Preventive Maintenance,75,32,6.34
2025-11-18,CNC-202,Line B,Afternoon,Operator Break / Shift Change,14,51,8.52
2025-11-08,CNC-102,Line A,Morning,Quality Hold / Inspection,30,39,7.35
2025-02-18,CNC-202,Line B,Morning,Preventive Maintenance,65,47,5.37
2025-05-26,CNC-201,Line B,Night,Tool Change / Wear,34,56,7.58
2025-05-13,CNC-301,Line C,Morning,Preventive Maintenance,88,28,8.31
2025-10-27,CNC-201,Line B,Afternoon,Unplanned Breakdown,120,52,4.71
2025-03-27,CNC-301,Line C,Morning,Quality Hold / Inspection,31,31,6.92
2025-07-16,CNC-201,Line B,Afternoon,Tool Change / Wear,20,57,7.53
2025-03-24,CNC-201,Line B,Night,Quality Hold / Inspection,50,54,8.63
2025-08-20,CNC-301,Line C,Morning,Preventive Maintenance,90,27,4.57
2025-12-24,CNC-301,Line C,Afternoon,Material Shortage,44,27,6.35
2025-01-14,CNC-101,Line A,Morning,Material Shortage,70,45,9.18
2025-07-09,CNC-301,Line C,Morning,Operator Break / Shift Change,11,32,7.93
2025-02-10,CNC-202,Line B,Afternoon,Operator Break / Shift Change,11,50,5.33
2025-06-09,CNC-201,Line B,Afternoon,Quality Hold / Inspection,19,52,6.44
2025-06-01,CNC-102,Line A,Afternoon,Operator Break / Shift Change,20,40,8.93
2025-10-05,CNC-301,Line C,Morning,Operator Break / Shift Change,19,33,9.34
2025-02-01,CNC-101,Line A,Afternoon,Operator Break / Shift Change,19,45,7.12
2025-03-16,CNC-202,Line B,Afternoon,Preventive Maintenance,63,52,9.08
2025-11-09,CNC-102,Line A,Night,Quality Hold / Inspection,38,40,5.94
2025-04-11,CNC-202,Line B,Night,Material Shortage,61,49,5.52
2025-08-20,CNC-101,Line A,Morning,Tool Change / Wear,41,40,5.39
2025-10-30,CNC-202,Line B,Afternoon,Material Shortage,77,50,6.36
2025-09-27,CNC-301,Line C,Night,Material Shortage,118,27,5.21
2025-08-31,CNC-201,Line B,Morning,Operator Break / Shift Change,20,54,8.82
2025-08-27,CNC-202,Line B,Night,Material Shortage,87,53,7.48
2025-07-22,CNC-202,Line B,Afternoon,Preventive Maintenance,61,48,8.12
2025-10-22,CNC-102,Line A,Night,Material Shortage,53,41,8.86
2025-06-15,CNC-101,Line A,Morning,Preventive Maintenance,84,42,7.42
2025-05-15,CNC-101,Line A,Afternoon,Preventive Maintenance,63,44,8.06
2025-10-04,CNC-201,Line B,Morning,Material Shortage,89,58,7.88
2025-07-05,CNC-101,Line A,Night,Operator Break / Shift Change,18,45,5.62
2025-04-07,CNC-202,Line B,Night,Material Shortage,78,47,7.91
2025-09-04,CNC-202,Line B,Night,Unplanned Breakdown,66,53,9.43
2025-09-25,CNC-202,Line B,Night,Material Shortage,74,47,7.41
2025-08-17,CNC-202,Line B,Afternoon,Material Shortage,54,47,7.95
2025-09-02,CNC-301,Line C,Morning,Operator Break / Shift Change,19,33,7.63
2025-09-08,CNC-101,Line A,Morning,Quality Hold / Inspection,25,44,8.17
2025-01-23,CNC-301,Line C,Afternoon,Tool Change / Wear,45,29,5.99
2025-04-29,CNC-301,Line C,Morning,Material Shortage,79,27,8.02
2025-11-14,CNC-201,Line B,Night,Changeover / Setup,38,54,4.81
2025-12-14,CNC-101,Line A,Afternoon,Material Shortage,119,42,4.6
2025-12-02,CNC-301,Line C,Night,Quality Hold / Inspection,33,28,8.67
2025-12-19,CNC-301,Line C,Night,Tool Change / Wear,35,32,8.5
2025-03-17,CNC-202,Line B,Afternoon,Tool Change / Wear,40,52,9.34
2025-06-24,CNC-202,Line B,Afternoon,Changeover / Setup,34,50,9.44
2025-07-12,CNC-101,Line A,Morning,Quality Hold / Inspection,49,41,9.3
2025-01-22,CNC-101,Line A,Morning,Quality Hold / Inspection,48,42,4.75
2025-11-08,CNC-201,Line B,Morning,Unplanned Breakdown,197,52,9.37
2025-12-02,CNC-101,Line A,Morning,Preventive Maintenance,61,43,6.07
2025-01-11,CNC-301,Line C,Night,Unplanned Breakdown,135,28,9.34
2025-12-25,CNC-301,Line C,Morning,Tool Change / Wear,44,29,8.95
2025-09-11,CNC-201,Line B,Afternoon,Quality Hold / Inspection,34,54,6.34
2025-11-28,CNC-102,Line A,Morning,Material Shortage,45,36,8.07
2025-04-26,CNC-201,Line B,Morning,Material Shortage,116,56,7.95
2025-01-06,CNC-301,Line C,Morning,Unplanned Breakdown,198,33,9.11
2025-05-31,CNC-202,Line B,Afternoon,Quality Hold / Inspection,29,52,7.33
2025-10-05,CNC-202,Line B,Afternoon,Tool Change / Wear,17,53,7.52
2025-05-28,CNC-202,Line B,Morning,Material Shortage,97,49,8.33
2025-09-22,CNC-202,Line B,Afternoon,Preventive Maintenance,55,50,6.42
2025-06-15,CNC-102,Line A,Night,Operator Break / Shift Change,15,39,7.74
2025-12-24,CNC-202,Line B,Morning,Operator Break / Shift Change,12,51,6.35
2025-03-30,CNC-101,Line A,Morning,Changeover / Setup,55,44,5.86
2025-05-07,CNC-102,Line A,Afternoon,Operator Break / Shift Change,14,40,9.18
2025-08-05,CNC-201,Line B,Afternoon,Material Shortage,110,52,6.75
2025-08-04,CNC-202,Line B,Night,Unplanned Breakdown,167,50,5.17
2025-05-25,CNC-101,Line A,Afternoon,Tool Change / Wear,43,45,8.65
2025-10-07,CNC-102,Line A,Night,Unplanned Breakdown,225,38,5.04
2025-10-15,CNC-101,Line A,Night,Preventive Maintenance,68,45,8.31
2025-12-30,CNC-202,Line B,Night,Tool Change / Wear,16,48,5.7
2025-02-07,CNC-101,Line A,Night,Material Shortage,36,40,7.09
2025-12-12,CNC-202,Line B,Night,Material Shortage,83,53,6.98
2025-11-23,CNC-101,Line A,Morning,Changeover / Setup,54,42,6.87
2025-11-05,CNC-301,Line C,Night,Unplanned Breakdown,92,33,7.97
2025-06-10,CNC-202,Line B,Afternoon,Operator Break / Shift Change,16,47,6.48
2025-06-27,CNC-101,Line A,Morning,Quality Hold / Inspection,23,42,9.1
2025-02-03,CNC-101,Line A,Morning,Tool Change / Wear,34,44,5.0
2025-09-27,CNC-101,Line A,Night,Quality Hold / Inspection,42,43,5.4
2025-11-08,CNC-201,Line B,Afternoon,Unplanned Breakdown,189,58,8.04
2025-05-22,CNC-101,Line A,Morning,Material Shortage,64,40,4.87
2025-11-29,CNC-102,Line A,Morning,Operator Break / Shift Change,16,40,7.49
2025-01-27,CNC-301,Line C,Night,Tool Change / Wear,33,27,9.14
2025-10-22,CNC-301,Line C,Morning,Tool Change / Wear,34,29,8.18
2025-02-19,CNC-102,Line A,Night,Tool Change / Wear,29,39,5.61
2025-06-24,CNC-101,Line A,Night,Changeover / Setup,46,41,5.3
2025-09-25,CNC-301,Line C,Morning,Tool Change / Wear,42,29,8.83
2025-05-24,CNC-101,Line A,Morning,Quality Hold / Inspection,23,39,4.56
2025-09-12,CNC-301,Line C,Afternoon,Preventive Maintenance,67,28,7.57
2025-05-28,CNC-201,Line B,Morning,Tool Change / Wear,43,58,8.39
2025-12-01,CNC-102,Line A,Night,Changeover / Setup,49,36,4.95
2025-10-09,CNC-301,Line C,Afternoon,Changeover / Setup,51,27,8.93
2025-02-28,CNC-101,Line A,Morning,Unplanned Breakdown,171,43,6.5
2025-02-25,CNC-301,Line C,Morning,Quality Hold / Inspection,31,29,6.14
2025-07-23,CNC-301,Line C,Afternoon,Quality Hold / Inspection,21,30,5.17
2025-08-24,CNC-301,Line C,Morning,Preventive Maintenance,80,31,9.13
2025-01-02,CNC-202,Line B,Afternoon,Tool Change / Wear,17,50,4.98
2025-09-19,CNC-201,Line B,Morning,Quality Hold / Inspection,33,56,5.72
2025-01-19,CNC-101,Line A,Night,Material Shortage,107,43,5.08
2025-09-11,CNC-102,Line A,Morning,Operator Break / Shift Change,19,39,8.44
2025-11-21,CNC-202,Line B,Morning,Material Shortage,32,47,8.8
2025-06-28,CNC-202,Line B,Afternoon,Unplanned Breakdown,189,53,6.85
2025-03-08,CNC-202,Line B,Night,Changeover / Setup,50,52,8.66
2025-08-16,CNC-102,Line A,Morning,Unplanned Breakdown,152,35,8.82
2025-07-10,CNC-201,Line B,Morning,Material Shortage,110,55,6.67
2025-01-10,CNC-101,Line A,Afternoon,Operator Break / Shift Change,11,39,6.51
2025-04-18,CNC-102,Line A,Morning,Changeover / Setup,54,39,7.79
2025-04-08,CNC-301,Line C,Afternoon,Operator Break / Shift Change,11,27,8.55
2025-03-23,CNC-201,Line B,Morning,Material Shortage,94,55,9.33
2025-11-23,CNC-301,Line C,Morning,Changeover / Setup,39,27,9.18
2025-08-21,CNC-202,Line B,Afternoon,Preventive Maintenance,47,52,4.85
2025-12-03,CNC-101,Line A,Night,Changeover / Setup,56,44,7.43
2025-08-09,CNC-101,Line A,Afternoon,Material Shortage,69,40,5.74
2025-11-26,CNC-301,Line C,Night,Unplanned Breakdown,160,30,9.22
2025-07-14,CNC-101,Line A,Night,Material Shortage,72,41,5.14
2025-05-18,CNC-101,Line A,Morning,Operator Break / Shift Change,14,44,8.93
2025-09-17,CNC-102,Line A,Morning,Tool Change / Wear,41,39,7.88
2025-03-15,CNC-301,Line C,Morning,Changeover / Setup,37,28,9.3
2025-12-31,CNC-301,Line C,Night,Tool Change / Wear,41,30,9.31
2025-03-29,CNC-202,Line B,Afternoon,Changeover / Setup,48,52,5.78
2025-01-18,CNC-101,Line A,Afternoon,Material Shortage,72,41,8.82
2025-12-15,CNC-201,Line B,Afternoon,Tool Change / Wear,40,55,9.22
2025-01-27,CNC-301,Line C,Morning,Operator Break / Shift Change,16,30,9.21
2025-06-03,CNC-102,Line A,Morning,Operator Break / Shift Change,11,39,9.21
2025-09-02,CNC-301,Line C,Night,Operator Break / Shift Change,12,27,8.15
2025-05-06,CNC-301,Line C,Afternoon,Unplanned Breakdown,207,32,5.84
2025-01-09,CNC-202,Line B,Night,Quality Hold / Inspection,41,48,4.97
2025-07-19,CNC-301,Line C,Morning,Unplanned Breakdown,79,31,7.72
2025-12-12,CNC-201,Line B,Night,Material Shortage,36,54,4.54
2025-08-11,CNC-202,Line B,Morning,Quality Hold / Inspection,33,51,5.66
2025-09-27,CNC-101,Line A,Afternoon,Material Shortage,100,45,6.75
2025-09-12,CNC-201,Line B,Afternoon,Quality Hold / Inspection,33,55,7.54
2025-09-09,CNC-201,Line B,Night,Quality Hold / Inspection,18,55,6.04
2025-05-22,CNC-101,Line A,Afternoon,Material Shortage,119,45,8.18
2025-10-31,CNC-202,Line B,Morning,Changeover / Setup,24,51,8.28
2025-10-28,CNC-102,Line A,Morning,Material Shortage,48,38,9.14
2025-05-01,CNC-101,Line A,Afternoon,Preventive Maintenance,70,43,5.07
2025-11-08,CNC-102,Line A,Morning,Quality Hold / Inspection,15,39,5.58
2025-03-31,CNC-102,Line A,Morning,Operator Break / Shift Change,12,35,9.32
2025-05-10,CNC-102,Line A,Night,Preventive Maintenance,88,38,4.55
2025-05-28,CNC-301,Line C,Morning,Preventive Maintenance,69,29,9.18
2025-03-03,CNC-101,Line A,Night,Preventive Maintenance,47,42,9.05
2025-09-26,CNC-301,Line C,Afternoon,Material Shortage,47,27,5.19
2025-08-28,CNC-101,Line A,Morning,Quality Hold / Inspection,40,40,5.16
2025-05-11,CNC-101,Line A,Morning,Changeover / Setup,28,42,8.37
2025-08-17,CNC-102,Line A,Morning,Unplanned Breakdown,239,39,8.46
2025-05-02,CNC-101,Line A,Morning,Preventive Maintenance,89,44,9.15
2025-04-20,CNC-301,Line C,Morning,Preventive Maintenance,80,31,6.54
2025-02-17,CNC-202,Line B,Afternoon,Changeover / Setup,54,52,6.29
2025-03-04,CNC-301,Line C,Morning,Changeover / Setup,45,28,7.48
2025-05-15,CNC-102,Line A,Night,Material Shortage,40,40,7.18
2025-04-14,CNC-301,Line C,Morning,Quality Hold / Inspection,29,27,8.04
2025-09-28,CNC-101,Line A,Night,Tool Change / Wear,22,42,7.65
2025-07-25,CNC-102,Line A,Afternoon,Material Shortage,52,37,7.3
2025-05-09,CNC-102,Line A,Afternoon,Changeover / Setup,30,35,6.48
2025-08-20,CNC-201,Line B,Afternoon,Tool Change / Wear,16,56,7.71
2025-10-12,CNC-301,Line C,Night,Operator Break / Shift Change,20,30,6.12
2025-08-24,CNC-202,Line B,Afternoon,Tool Change / Wear,39,53,9.22
2025-11-19,CNC-301,Line C,Morning,Changeover / Setup,47,30,6.09
2025-08-19,CNC-102,Line A,Afternoon,Preventive Maintenance,69,36,7.12
2025-06-19,CNC-101,Line A,Morning,Quality Hold / Inspection,39,43,5.99
2025-02-24,CNC-102,Line A,Night,Material Shortage,73,36,6.35
2025-11-04,CNC-202,Line B,Morning,Material Shortage,73,48,5.01
2025-03-11,CNC-102,Line A,Morning,Changeover / Setup,36,40,4.58
2025-05-19,CNC-201,Line B,Morning,Operator Break / Shift Change,20,55,5.62
2025-07-06,CNC-202,Line B,Night,Changeover / Setup,55,49,5.15
2025-07-29,CNC-101,Line A,Afternoon,Quality Hold / Inspection,40,41,7.85
2025-07-15,CNC-201,Line B,Afternoon,Quality Hold / Inspection,35,55,5.34
2025-07-22,CNC-101,Line A,Afternoon,Unplanned Breakdown,174,43,9.46
2025-02-13,CNC-202,Line B,Night,Changeover / Setup,48,47,7.4
2025-03-07,CNC-102,Line A,Afternoon,Unplanned Breakdown,154,40,9.24
2025-11-21,CNC-202,Line B,Afternoon,Changeover / Setup,58,49,8.84
2025-05-01,CNC-201,Line B,Night,Unplanned Breakdown,138,52,5.42
2025-09-25,CNC-202,Line B,Afternoon,Changeover / Setup,56,53,9.07
2025-05-11,CNC-201,Line B,Night,Unplanned Breakdown,172,54,8.11
2025-02-11,CNC-102,Line A,Night,Preventive Maintenance,88,36,6.99
2025-11-22,CNC-301,Line C,Morning,Material Shortage,57,28,5.03
2025-03-07,CNC-101,Line A,Afternoon,Unplanned Breakdown,196,40,6.05
2025-07-23,CNC-102,Line A,Night,Tool Change / Wear,30,40,5.15
2025-09-14,CNC-102,Line A,Night,Material Shortage,35,37,6.25
2025-04-10,CNC-101,Line A,Night,Unplanned Breakdown,207,41,7.39
2025-02-05,CNC-102,Line A,Morning,Changeover / Setup,52,39,6.97
2025-02-21,CNC-201,Line B,Morning,Unplanned Breakdown,235,55,4.84
2025-07-25,CNC-101,Line A,Night,Changeover / Setup,45,45,5.52
2025-11-18,CNC-102,Line A,Afternoon,Tool Change / Wear,33,41,7.16
2025-11-28,CNC-202,Line B,Afternoon,Unplanned Breakdown,154,51,7.92
2025-07-01,CNC-202,Line B,Afternoon,Operator Break / Shift Change,19,51,5.17
2025-07-02,CNC-301,Line C,Afternoon,Changeover / Setup,48,33,5.17
2025-07-26,CNC-201,Line B,Night,Changeover / Setup,55,56,7.99
2025-01-30,CNC-101,Line A,Afternoon,Preventive Maintenance,87,42,6.18
2025-04-16,CNC-102,Line A,Morning,Quality Hold / Inspection,37,37,8.47
2025-07-29,CNC-101,Line A,Night,Tool Change / Wear,44,39,7.25
2025-08-12,CNC-201,Line B,Afternoon,Preventive Maintenance,84,58,7.97
2025-01-08,CNC-201,Line B,Night,Preventive Maintenance,59,52,4.85
2025-06-03,CNC-202,Line B,Morning,Unplanned Breakdown,215,50,5.29
2025-06-11,CNC-301,Line C,Afternoon,Unplanned Breakdown,173,28,9.07
2025-05-08,CNC-301,Line C,Afternoon,Unplanned Breakdown,236,28,8.91
2025-02-20,CNC-102,Line A,Morning,Tool Change / Wear,43,35,6.11
2025-01-29,CNC-101,Line A,Morning,Quality Hold / Inspection,44,44,5.26
2025-02-07,CNC-301,Line C,Afternoon,Material Shortage,61,30,7.26
2025-03-01,CNC-201,Line B,Night,Quality Hold / Inspection,43,57,9.12
2025-03-06,CNC-201,Line B,Night,Tool Change / Wear,36,54,8.88
2025-09-25,CNC-102,Line A,Morning,Changeover / Setup,44,39,7.39
2025-11-14,CNC-301,Line C,Night,Changeover / Setup,57,27,8.33
2025-04-10,CNC-202,Line B,Morning,Preventive Maintenance,65,52,6.58
2025-10-26,CNC-201,Line B,Night,Unplanned Breakdown,193,57,6.18
2025-10-11,CNC-101,Line A,Night,Tool Change / Wear,16,44,5.21
2025-08-30,CNC-202,Line B,Morning,Operator Break / Shift Change,18,47,5.78
2025-08-04,CNC-301,Line C,Afternoon,Operator Break / Shift Change,15,33,6.93
2025-06-12,CNC-202,Line B,Morning,Quality Hold / Inspection,18,48,4.67
2025-03-04,CNC-301,Line C,Afternoon,Changeover / Setup,25,31,7.82
2025-07-26,CNC-101,Line A,Morning,Operator Break / Shift Change,12,45,8.82
2025-10-13,CNC-301,Line C,Afternoon,Preventive Maintenance,69,33,5.29
2025-08-13,CNC-201,Line B,Afternoon,Preventive Maintenance,73,54,8.0
2025-09-29,CNC-201,Line B,Night,Tool Change / Wear,35,55,7.39
2025-01-06,CNC-102,Line A,Morning,Quality Hold / Inspection,32,41,7.7
2025-07-24,CNC-102,Line A,Morning,Unplanned Breakdown,61,40,8.22
2025-05-13,CNC-201,Line B,Morning,Tool Change / Wear,22,55,7.69
2025-09-14,CNC-101,Line A,Night,Quality Hold / Inspection,22,44,8.74
2025-03-15,CNC-102,Line A,Night,Material Shortage,102,35,7.53
2025-03-21,CNC-202,Line B,Afternoon,Material Shortage,110,51,5.95
2025-01-14,CNC-202,Line B,Morning,Tool Change / Wear,43,48,6.35
2025-04-13,CNC-101,Line A,Afternoon,Preventive Maintenance,65,45,5.92
2025-06-12,CNC-301,Line C,Afternoon,Operator Break / Shift Change,13,29,6.34
2025-02-24,CNC-101,Line A,Morning,Operator Break / Shift Change,10,39,8.23
2025-08-01,CNC-101,Line A,Morning,Quality Hold / Inspection,37,40,8.39
2025-02-20,CNC-101,Line A,Night,Material Shortage,84,44,5.04
2025-07-23,CNC-301,Line C,Night,Material Shortage,78,29,7.45
2025-09-01,CNC-102,Line A,Afternoon,Tool Change / Wear,16,36,9.11
2025-06-11,CNC-102,Line A,Night,Changeover / Setup,39,37,8.71
2025-06-08,CNC-201,Line B,Morning,Unplanned Breakdown,102,53,8.54
2025-05-12,CNC-102,Line A,Afternoon,Preventive Maintenance,69,37,9.32
2025-07-24,CNC-301,Line C,Night,Changeover / Setup,36,33,7.18
2025-06-19,CNC-102,Line A,Morning,Material Shortage,48,37,8.81
2025-12-06,CNC-101,Line A,Afternoon,Operator Break / Shift Change,14,44,7.52
2025-09-18,CNC-201,Line B,Afternoon,Operator Break / Shift Change,14,52,7.39
2025-08-06,CNC-301,Line C,Morning,Preventive Maintenance,81,30,8.74
2025-04-22,CNC-202,Line B,Morning,Preventive Maintenance,84,48,6.79
2025-09-15,CNC-202,Line B,Morning,Operator Break / Shift Change,15,51,7.18
2025-04-18,CNC-201,Line B,Night,Changeover / Setup,21,53,7.44
2025-03-10,CNC-201,Line B,Morning,Preventive Maintenance,67,53,7.35
2025-12-12,CNC-301,Line C,Afternoon,Preventive Maintenance,63,27,6.94
2025-03-13,CNC-201,Line B,Morning,Material Shortage,77,58,7.1
2025-07-17,CNC-202,Line B,Afternoon,Quality Hold / Inspection,25,53,7.07
2025-07-08,CNC-202,Line B,Afternoon,Changeover / Setup,21,51,8.61
2025-05-06,CNC-202,Line B,Morning,Unplanned Breakdown,239,53,5.16
2025-06-13,CNC-201,Line B,Afternoon,Changeover / Setup,42,53,8.69
2025-01-28,CNC-202,Line B,Morning,Changeover / Setup,24,51,7.74
2025-12-03,CNC-102,Line A,Morning,Tool Change / Wear,22,41,6.99
2025-09-26,CNC-101,Line A,Afternoon,Preventive Maintenance,70,44,6.09
2025-08-18,CNC-202,Line B,Afternoon,Material Shortage,67,53,5.82
2025-10-02,CNC-202,Line B,Night,Material Shortage,68,50,8.23
2025-12-18,CNC-301,Line C,Afternoon,Preventive Maintenance,71,33,5.64
2025-02-07,CNC-102,Line A,Afternoon,Operator Break / Shift Change,17,41,4.76
2025-04-24,CNC-301,Line C,Afternoon,Material Shortage,39,30,9.45
2025-04-09,CNC-202,Line B,Morning,Preventive Maintenance,58,53,8.82
2025-11-26,CNC-202,Line B,Morning,Quality Hold / Inspection,35,53,5.91
2025-05-06,CNC-101,Line A,Night,Changeover / Setup,58,43,5.34
2025-10-26,CNC-102,Line A,Night,Tool Change / Wear,24,38,9.35
2025-02-20,CNC-201,Line B,Afternoon,Changeover / Setup,44,56,7.15
2025-08-12,CNC-102,Line A,Afternoon,Material Shortage,78,36,5.81
2025-08-21,CNC-102,Line A,Night,Operator Break / Shift Change,16,41,6.35
2025-07-12,CNC-201,Line B,Night,Quality Hold / Inspection,38,52,7.27
2025-03-03,CNC-201,Line B,Night,Quality Hold / Inspection,36,57,4.92
2025-01-16,CNC-102,Line A,Night,Tool Change / Wear,18,35,9.23
2025-12-27,CNC-102,Line A,Afternoon,Operator Break / Shift Change,19,38,6.44
2025-12-03,CNC-202,Line B,Morning,Tool Change / Wear,41,49,5.27
2025-02-14,CNC-301,Line C,Afternoon,Material Shortage,101,29,4.95
2025-11-18,CNC-102,Line A,Afternoon,Operator Break / Shift Change,19,35,7.46
2025-12-31,CNC-201,Line B,Afternoon,Quality Hold / Inspection,23,54,7.34
2025-07-21,CNC-101,Line A,Night,Tool Change / Wear,22,39,5.14
2025-02-07,CNC-301,Line C,Afternoon,Changeover / Setup,52,32,5.87
2025-06-26,CNC-102,Line A,Afternoon,Material Shortage,64,41,6.43
2025-12-19,CNC-101,Line A,Night,Material Shortage,88,45,7.08
2025-10-04,CNC-202,Line B,Night,Preventive Maintenance,57,51,6.19
2025-06-19,CNC-202,Line B,Morning,Tool Change / Wear,29,49,5.55
2025-12-08,CNC-202,Line B,Morning,Preventive Maintenance,50,53,7.02
2025-01-29,CNC-102,Line A,Night,Operator Break / Shift Change,14,39,8.54
2025-12-20,CNC-201,Line B,Afternoon,Changeover / Setup,45,58,5.49
2025-12-28,CNC-301,Line C,Afternoon,Material Shortage,40,33,7.17
2025-02-11,CNC-101,Line A,Night,Quality Hold / Inspection,26,40,5.38
2025-05-29,CNC-201,Line B,Morning,Preventive Maintenance,81,53,7.32
2025-02-17,CNC-301,Line C,Night,Quality Hold / Inspection,28,27,8.65
2025-04-14,CNC-202,Line B,Afternoon,Operator Break / Shift Change,17,50,5.34
2025-07-01,CNC-201,Line B,Morning,Material Shortage,57,55,8.62
2025-05-29,CNC-102,Line A,Night,Quality Hold / Inspection,37,39,4.64
2025-06-23,CNC-102,Line A,Night,Tool Change / Wear,24,38,7.81
2025-05-07,CNC-301,Line C,Afternoon,Quality Hold / Inspection,49,30,5.59
2025-03-02,CNC-102,Line A,Night,Changeover / Setup,37,39,4.78
2025-09-06,CNC-201,Line B,Morning,Preventive Maintenance,78,57,8.88
2025-08-14,CNC-201,Line B,Afternoon,Tool Change / Wear,22,52,5.25
2025-09-06,CNC-202,Line B,Morning,Material Shortage,88,53,8.89
2025-09-30,CNC-202,Line B,Morning,Unplanned Breakdown,228,50,6.35
2025-05-01,CNC-301,Line C,Morning,Preventive Maintenance,53,31,6.42
2025-12-07,CNC-201,Line B,Afternoon,Changeover / Setup,29,53,7.92
2025-07-01,CNC-202,Line B,Afternoon,Quality Hold / Inspection,22,53,8.96
2025-07-12,CNC-301,Line C,Afternoon,Unplanned Breakdown,101,28,5.6
2025-09-27,CNC-301,Line C,Night,Preventive Maintenance,62,30,7.08
2025-06-03,CNC-102,Line A,Morning,Tool Change / Wear,25,36,8.94
2025-01-07,CNC-301,Line C,Morning,Unplanned Breakdown,198,33,8.15
2025-07-27,CNC-101,Line A,Morning,Preventive Maintenance,72,39,4.82
2025-11-21,CNC-201,Line B,Morning,Operator Break / Shift Change,18,53,7.72
2025-12-02,CNC-102,Line A,Morning,Operator Break / Shift Change,20,41,6.7
2025-11-13,CNC-201,Line B,Afternoon,Quality Hold / Inspection,34,57,5.32
2025-01-28,CNC-301,Line C,Afternoon,Quality Hold / Inspection,46,27,6.67
2025-03-09,CNC-101,Line A,Afternoon,Preventive Maintenance,83,43,6.62
2025-12-21,CNC-202,Line B,Afternoon,Preventive Maintenance,82,49,5.71
2025-11-19,CNC-201,Line B,Night,Operator Break / Shift Change,17,54,9.19
2025-08-09,CNC-201,Line B,Night,Quality Hold / Inspection,35,58,6.88
2025-02-02,CNC-201,Line B,Morning,Preventive Maintenance,85,57,4.77
2025-04-27,CNC-102,Line A,Morning,Tool Change / Wear,18,41,9.2
2025-02-12,CNC-101,Line A,Afternoon,Changeover / Setup,60,42,7.95
2025-01-11,CNC-202,Line B,Morning,Unplanned Breakdown,162,47,5.32
2025-02-04,CNC-201,Line B,Afternoon,Preventive Maintenance,59,57,5.24
2025-05-23,CNC-102,Line A,Afternoon,Operator Break / Shift Change,19,35,5.58
2025-05-06,CNC-202,Line B,Night,Operator Break / Shift Change,15,53,5.74
2025-09-18,CNC-301,Line C,Morning,Quality Hold / Inspection,43,32,5.09
2025-06-22,CNC-202,Line B,Afternoon,Operator Break / Shift Change,10,47,7.95
2025-03-14,CNC-202,Line B,Night,Tool Change / Wear,36,52,6.53
